Modelo,Tratamiento,Normal,Loss,Loss1,Loss2,Percentil,Accuracy,F1-Score,Precision,AUC-ROC,Recall
Model4,ELIMINACION,STANDARD,mse,MSE,MSE,99.5,0.9959226819691936,0.9612625538020085,0.9436619718309859,0.9881737251834468,0.97953216374269
Model1,ELIMINACION,STANDARD,mse,MSE,MSE,99,0.991392328601631,0.919831223628692,0.8861788617886179,0.9747262263940105,0.956140350877193
Model2,ELIMINACION,STANDARD,mse,MSE,MSE,99,0.9862579281183932,0.8698140200286122,0.8515406162464986,0.9402246992215145,0.8888888888888888
Model3,ELIMINACION,STANDARD,mse,MSE,MSE,99,0.9945635759589248,0.9487179487179489,0.925,0.9846924237344956,0.9736842105263158
Model4,ELIMINACION,STANDARD,mse,MSE,MSE,99,0.9916943521594684,0.9243466299862448,0.8727272727272727,0.9873267962900882,0.9824561403508771
Model1,ELIMINACION,STANDARD,mae,MAE,MAE,99.9,0.9919963757173059,0.9175738724727838,0.9800664451827242,0.9308088427012329,0.8625730994152047
Model2,ELIMINACION,STANDARD,mae,MAE,MAE,99.9,0.9965267290848686,0.9653092006033182,0.9968847352024922,0.9677566394755466,0.935672514619883
Model3,ELIMINACION,STANDARD,mae,MAE,MAE,99.9,0.9960736937481124,0.9608433734939759,0.9906832298136646,0.9661354155026632,0.9327485380116959
Model4,ELIMINACION,STANDARD,mae,MAE,MAE,99.9,0.9959226819691936,0.9596412556053812,0.981651376146789,0.9688205386076656,0.9385964912280702
Model1,ELIMINACION,STANDARD,mae,MAE,MAE,99.5,0.993808517064331,0.9411764705882353,0.923943661971831,0.9773824822140277,0.9590643274853801
Model2,ELIMINACION,STANDARD,mae,MAE,MAE,99.5,0.9965267290848686,0.9661266568483062,0.973293768545994,0.9788156032331359,0.9590643274853801
Model3,ELIMINACION,STANDARD,mae,MAE,MAE,99.5,0.9962247055270311,0.9638205499276411,0.9541547277936963,0.9855682199128395,0.9736842105263158
Model4,ELIMINACION,STANDARD,mae,MAE,MAE,99.5,0.9941105406221685,0.9438848920863309,0.9291784702549575,0.9775417178828174,0.9590643274853801
Model1,ELIMINACION,STANDARD,mae,MAE,MAE,99,0.9909392932648746,0.9171270718232044,0.8691099476439791,0.981399225239319,0.9707602339181286
Model2,ELIMINACION,STANDARD,mae,MAE,MAE,99,0.9947145877378436,0.9504950495049505,0.9205479452054794,0.9889191529779863,0.9824561403508771
Model3,ELIMINACION,STANDARD,mae,MAE,MAE,99,0.9942615524010873,0.9466292134831461,0.9108108108108108,0.9900626699445003,0.9853801169590644
Model4,ELIMINACION,STANDARD,mae,MAE,MAE,99,0.991392328601631,0.9215955983493809,0.8701298701298701,0.9857851901515997,0.97953216374269
Model1,ELIMINACION,STANDARD,mae,MSE,MSE,99.9,0.9912413168227122,0.9090909090909091,0.9797297297297297,0.923498901180765,0.847953216374269
Model2,ELIMINACION,STANDARD,mae,MSE,MSE,99.9,0.9972817879794624,0.973134328358209,0.9939024390243902,0.9764489514657131,0.9532163742690059
Model3,ELIMINACION,STANDARD,mae,MSE,MSE,99.9,0.9977348233162187,0.9777117384843983,0.9939577039274925,0.9808349163779938,0.9619883040935673
Model4,ELIMINACION,STANDARD,mae,MSE,MSE,99.9,0.9974327997583812,0.974739970282318,0.9909365558912386,0.9792933102395053,0.9590643274853801
Model1,ELIMINACION,STANDARD,mae,MSE,MSE,99.5,0.9922983992751434,0.9259796806966618,0.9193083573487032,0.9641449696427906,0.9327485380116959
Model2,ELIMINACION,STANDARD,mae,MSE,MSE,99.5,0.9977348233162187,0.9782293178519594,0.9711815561959655,0.9918938801355831,0.9853801169590644
Model3,ELIMINACION,STANDARD,mae,MSE,MSE,99.5,0.9978858350951374,0.9797101449275362,0.9712643678160919,0.9933558684396767,0.9883040935672515
Model4,ELIMINACION,STANDARD,mae,MSE,MSE,99.5,0.9974327997583812,0.975397973950796,0.9656160458452722,0.9917346444667933,0.9853801169590644
